Run Label,Phase,Dataset,Encoder,LR,Use GradNorm,GradNorm Alpha,Skip Connections,Macenko,Seg Weight,Cls Weight,Lambda Ratio (Seg:Cls),Accuracy (%),Macro Dice (%),Paper Acc (%),Paper Dice (%),Acc Delta (%),Dice Delta (%),Status,Timestamp,Kfold Acc Mean (%),Kfold Acc SD (%),Kfold Dice Mean (%),Kfold Dice SD (%),Kfold N,Acc 95% CI Lower,Acc 95% CI Upper,Acc 95% CI,Dice 95% CI Lower (bootstrap),Dice 95% CI Upper (bootstrap),Dice 95% CI (bootstrap),Dice 95% CI Lower (pos-only),Dice 95% CI Upper (pos-only),Dice 95% CI Lower (neg-only),Dice 95% CI Upper (neg-only),Splitter Branch
TCGA-vgg16-no-macenko,v1,TCGA,vgg16,1e-3,False,0.0,True,False,5.0,1.0,5:1,89.07,79.78,89.0,97.0,0.07,-17.22,completed,2026-09-21T13:09:56,,,,,,,,,,,,,,,,
TCGA-mobilenet_v2-no-macenko,v1,TCGA,mobilenet_v2,1e-3,False,0.0,True,False,5.0,1.0,5:1,95.12,84.47,90.0,98.0,5.12,-13.53,completed,2026-09-21T17:23:15,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko,v1,PANDA,vgg16,1e-3,False,0.0,True,False,5.0,1.0,5:1,43.25,85.5,87.0,98.0,-43.75,-12.5,completed,2026-09-21T15:14:05,,,,,,,,,,,,,,,,
PANDA-mobilenet_v2-no-macenko,v1,PANDA,mobilenet_v2,1e-3,False,0.0,True,False,5.0,1.0,5:1,45.01,85.35,88.0,99.0,-42.99,-13.65,completed,2026-09-21T16:54:21,,,,,,,,,,,,,,,,
SIIM-vgg16-no-macenko,v1,SIIM,vgg16,1e-3,False,0.0,True,False,5.0,1.0,5:1,79.58,77.74,82.0,99.0,-2.42,-21.26,completed,2026-09-21T14:40:30,,,,,,,,,,,,,,,,
SIIM-mobilenet_v2-no-macenko,v1,SIIM,mobilenet_v2,1e-3,False,0.0,True,False,5.0,1.0,5:1,83.65,77.74,87.0,99.0,-3.35,-21.26,completed,2026-09-21T18:40:53,,,,,,,,,,,,,,,,
TCGA-vgg16-alpha=1.5,v2,TCGA,vgg16,1e-4,True,1.5,True,True,5.0,1.0,5:1,93.19,75.24,89.0,97.0,4.19,-21.76,completed,2026-09-21T16:55:51,,,,,,,,,,,,,,,,
TCGA-mobilenet_v2-alpha=1.5,v2,TCGA,mobilenet_v2,1e-4,True,1.5,True,True,5.0,1.0,5:1,94.22,83.85,90.0,98.0,4.22,-14.15,completed,2026-09-21T13:51:31,,,,,,,,,,,,,,,,
PANDA-vgg16-alpha=1.5,v2,PANDA,vgg16,1e-4,True,1.5,True,True,5.0,1.0,5:1,33.03,85.35,87.0,98.0,-53.97,-12.65,completed,2026-09-21T21:53:43,,,,,,,,,,,,,,,,
PANDA-mobilenet_v2-alpha=1.5,v2,PANDA,mobilenet_v2,1e-4,True,1.5,True,True,5.0,1.0,5:1,33.7,85.35,88.0,99.0,-54.3,-13.65,completed,2026-09-21T13:22:05,,,,,,,,,,,,,,,,
SIIM-vgg16-alpha=1.5,v2,SIIM,vgg16,1e-4,True,1.5,True,True,5.0,1.0,5:1,82.01,77.74,82.0,99.0,0.01,-21.26,completed,2026-09-21T17:49:51,,,,,,,,,,,,,,,,
SIIM-mobilenet_v2-alpha=1.5,v2,SIIM,mobilenet_v2,1e-4,True,1.5,True,True,5.0,1.0,5:1,78.22,77.74,87.0,99.0,-8.78,-21.26,completed,2026-09-21T17:29:00,,,,,,,,,,,,,,,,
PANNUKE-vgg16-no-macenko,v1,PANNUKE,vgg16,1e-3,False,0.0,True,False,5.0,1.0,5:1,97.72,68.49,,,,,completed,2026-09-21T14:14:33,,,,,,,,,,,,,,,,
PANNUKE-mobilenet_v2-no-macenko,v1,PANNUKE,mobilenet_v2,1e-3,False,0.0,True,False,5.0,1.0,5:1,99.05,69.31,,,,,completed,2026-09-21T17:59:27,,,,,,,,,,,,,,,,
PANNUKE-vgg16-alpha=1.5,v2,PANNUKE,vgg16,1e-4,True,1.5,True,True,5.0,1.0,5:1,91.65,40.65,,,,,completed,2026-09-21T21:46:27,,,,,,,,,,,,,,,,
PANNUKE-mobilenet_v2-alpha=1.5,v2,PANNUKE,mobilenet_v2,1e-4,True,1.5,True,True,5.0,1.0,5:1,92.54,58.61,,,,,completed,2026-09-21T16:00:58,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko-alpha=1.5,v2,PANDA,vgg16,1e-4,False,1.5,True,False,5.0,1.0,5:1,46.06,85.35,87.0,98.0,-40.94,-12.65,completed,2026-09-21T14:53:00,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko-alpha=1.5,v1,PANDA,vgg16,1e-3,True,1.5,True,False,5.0,1.0,5:1,26.09,85.35,87.0,98.0,-60.91,-12.65,completed,2026-09-21T14:12:11,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko-lambda=1:1,v1,PANDA,vgg16,1e-3,False,0.0,True,False,1.0,1.0,1:1,43.11,85.35,87.0,98.0,-43.89,-12.65,completed,2026-09-21T18:45:49,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko,v1,PANDA,vgg16,1e-3,False,0.0,True,False,5.0,1.0,5:1,43.16,85.35,87.0,98.0,-43.84,-12.65,completed,2026-09-21T20:49:23,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko-lambda=1:10,v1,PANDA,vgg16,1e-3,False,0.0,True,False,1.0,10.0,1:10,43.68,85.35,87.0,98.0,-43.32,-12.65,completed,2026-09-21T18:38:01,,,,,,,,,,,,,,,,
PANDA-vgg16-no-macenko-lambda=10:1,v1,PANDA,vgg16,1e-3,False,0.0,True,False,10.0,1.0,10:1,43.87,85.47,87.0,98.0,-43.13,-12.53,completed,2026-09-21T18:16:31,,,,,,,,,,,,,,,,
PANDA-mobilenet_v2-no-macenko-alpha=1.5,v2,PANDA,mobilenet_v2,1e-4,True,1.5,True,False,5.0,1.0,5:1,40.73,85.35,88.0,99.0,-47.27,-13.65,completed,2026-09-21T13:08:24,,,,,,,,,,,,,,,,
PANNUKE-mobilenet_v2-no-macenko-alpha=1.5,v2,PANNUKE,mobilenet_v2,1e-4,True,1.5,True,False,5.0,1.0,5:1,99.18,69.78,,,,,completed,2026-09-21T16:04:39,,,,,,,,,,,,,,,,
TCGA-mobilenet_v2-no-skip-alpha=1.5,v2,TCGA,mobilenet_v2,1e-4,True,1.5,False,True,5.0,1.0,5:1,93.32,80.97,90.0,98.0,3.32,-17.03,completed,2026-09-21T14:40:34,,,,,,,,,,,,,,,,
PANDA-mobilenet_v2-no-skip-alpha=1.5,v2,PANDA,mobilenet_v2,1e-4,True,1.5,False,True,5.0,1.0,5:1,36.88,85.35,88.0,99.0,-51.12,-13.65,completed,2026-09-21T16:22:20,,,,,,,,,,,,,,,,
