Run Label,Phase,Dataset,Encoder,LR,Use GradNorm,GradNorm Alpha,Skip Connections,Macenko,Seg Weight,Cls Weight,Lambda Ratio (Seg:Cls),Accuracy (%),Macro Dice (%),Paper Acc (%),Paper Dice (%),Acc Delta (%),Dice Delta (%),Status,Timestamp,Acc 95% CI Lower,Acc 95% CI Upper,Acc 95% CI
TCGA-vgg16-no-macenko,v1,TCGA,vgg16,0.001,False,0.0,True,False,5.0,1.0,5:1,88.82,76.02,89.0,97.0,-0.18,-20.98,completed,2026-08-25T23:24:14,86.41,90.84,[86.41 - 90.84]
TCGA-mobilenet_v2-no-macenko,v1,TCGA,mobilenet_v2,0.001,False,0.0,True,False,5.0,1.0,5:1,94.6,87.56,90.0,98.0,4.6,-10.44,completed,2026-08-25T23:23:19,92.78,95.98,[92.78 - 95.98]
PANDA-vgg16-no-macenko,v1,PANDA,vgg16,0.001,False,0.0,True,False,5.0,1.0,5:1,45.15,43.3,87.0,98.0,-41.85,-54.7,completed,2026-08-26T00:58:04,43.04,47.29,[43.04 - 47.29]
PANDA-mobilenet_v2-no-macenko,v1,PANDA,mobilenet_v2,0.001,False,0.0,True,False,5.0,1.0,5:1,46.15,44.34,88.0,99.0,-41.85,-54.66,completed,2026-08-26T01:08:06,44.03,48.29,[44.03 - 48.29]
SIIM-vgg16-no-macenko,v1,SIIM,vgg16,0.001,False,0.0,True,False,5.0,1.0,5:1,83.19,77.74,82.0,99.0,1.19,-21.26,completed,2026-08-26T00:49:53,81.54,84.71,[81.54 - 84.71]
SIIM-mobilenet_v2-no-macenko,v1,SIIM,mobilenet_v2,0.001,False,0.0,True,False,5.0,1.0,5:1,83.47,77.74,87.0,99.0,-3.53,-21.26,completed,2026-08-26T01:24:56,81.83,84.98,[81.83 - 84.98]
TCGA-vgg16-alpha=1.5,v2,TCGA,vgg16,0.0001,True,1.5,True,True,5.0,1.0,5:1,92.8,78.3,89.0,97.0,3.8,-18.7,completed,2026-08-26T01:55:34,90.77,94.42,[90.77 - 94.42]
TCGA-mobilenet_v2-alpha=1.5,v2,TCGA,mobilenet_v2,0.0001,True,1.5,True,True,5.0,1.0,5:1,93.32,84.2,90.0,98.0,3.32,-13.8,completed,2026-08-26T01:43:50,91.34,94.87,[91.34 - 94.87]
PANDA-vgg16-alpha=1.5,v2,PANDA,vgg16,0.0001,True,1.5,True,True,5.0,1.0,5:1,30.89,31.59,87.0,98.0,-56.11,-66.41,completed,2026-08-26T02:22:38,28.96,32.90,[28.96 - 32.90]
PANDA-mobilenet_v2-alpha=1.5,v2,PANDA,mobilenet_v2,0.0001,True,1.5,True,True,5.0,1.0,5:1,34.7,31.34,88.0,99.0,-53.3,-67.66,completed,2026-08-26T02:31:50,32.69,36.76,[32.69 - 36.76]
SIIM-vgg16-alpha=1.5,v2,SIIM,vgg16,0.0001,True,1.5,True,True,5.0,1.0,5:1,81.08,77.74,82.0,99.0,-0.92,-21.26,completed,2026-08-26T02:37:51,79.36,82.68,[79.36 - 82.68]
SIIM-mobilenet_v2-alpha=1.5,v2,SIIM,mobilenet_v2,0.0001,True,1.5,True,True,5.0,1.0,5:1,83.0,77.74,87.0,99.0,-4.0,-21.26,completed,2026-08-26T02:48:36,81.35,84.53,[81.35 - 84.53]
PANNUKE-vgg16-no-macenko,v1,PANNUKE,vgg16,0.001,False,0.0,True,False,5.0,1.0,5:1,98.85,72.48,,,,,completed,2026-08-26T14:08:06,98.19,99.27,[98.19 - 99.27]
PANNUKE-mobilenet_v2-no-macenko,v1,PANNUKE,mobilenet_v2,0.001,False,0.0,True,False,5.0,1.0,5:1,99.43,74.21,,,,,completed,2026-08-26T12:31:04,98.91,99.70,[98.91 - 99.70]
PANNUKE-vgg16-alpha=1.5,v2,PANNUKE,vgg16,0.0001,True,1.5,True,True,5.0,1.0,5:1,91.9,39.59,,,,,completed,2026-08-26T14:41:52,90.44,93.15,[90.44 - 93.15]
PANNUKE-mobilenet_v2-alpha=1.5,v2,PANNUKE,mobilenet_v2,0.0001,True,1.5,True,True,5.0,1.0,5:1,96.68,60.54,,,,,completed,2026-08-26T14:04:57,95.67,97.46,[95.67 - 97.46]
PANDA-vgg16-no-macenko-alpha=1.5,v2,PANDA,vgg16,0.0001,False,1.5,True,False,5.0,1.0,5:1,43.35,37.99,87.0,98.0,-43.65,-60.01,completed,2026-08-26T17:00:57,41.24,45.47,[41.24 - 45.47]
PANDA-vgg16-no-macenko-alpha=1.5,v1,PANDA,vgg16,0.001,True,1.5,True,False,5.0,1.0,5:1,29.04,31.43,87.0,98.0,-57.96,-66.57,completed,2026-09-03T18:47:53,27.14,31.02,[27.14 - 31.02]
PANDA-vgg16-no-macenko-lambda=1:1,v1,PANDA,vgg16,0.001,False,0.0,True,False,1.0,1.0,1:1,42.73,41.72,87.0,98.0,-44.27,-56.28,completed,2026-08-26T16:32:58,40.63,44.85,[40.63 - 44.85]
PANDA-vgg16-no-macenko,v1,PANDA,vgg16,0.001,False,0.0,True,False,5.0,1.0,5:1,45.39,44.08,87.0,98.0,-41.61,-53.92,completed,2026-08-26T18:10:08,43.27,47.52,[43.27 - 47.52]
PANDA-vgg16-no-macenko-lambda=1:10,v1,PANDA,vgg16,0.001,False,0.0,True,False,1.0,10.0,1:10,41.83,38.06,87.0,98.0,-45.17,-59.94,completed,2026-08-26T18:23:38,39.73,43.95,[39.73 - 43.95]
PANDA-vgg16-no-macenko-lambda=10:1,v1,PANDA,vgg16,0.001,False,0.0,True,False,10.0,1.0,10:1,44.58,41.52,87.0,98.0,-42.42,-56.48,completed,2026-08-26T18:13:15,42.47,46.71,[42.47 - 46.71]
PANDA-mobilenet_v2-no-macenko-alpha=1.5,v2,PANDA,mobilenet_v2,0.0001,True,1.5,True,False,5.0,1.0,5:1,40.21,31.57,88.0,99.0,-47.79,-67.43,completed,2026-08-26T19:04:51,38.13,42.32,[38.13 - 42.32]
PANNUKE-mobilenet_v2-no-macenko-alpha=1.5,v2,PANNUKE,mobilenet_v2,0.0001,True,1.5,True,False,5.0,1.0,5:1,99.36,73.33,,,,,completed,2026-08-26T19:10:54,98.83,99.65,[98.83 - 99.65]
TCGA-mobilenet_v2-no-skip-alpha=1.5,v2,TCGA,mobilenet_v2,0.0001,True,1.5,False,True,5.0,1.0,5:1,94.34,84.12,90.0,98.0,4.34,-13.88,completed,2026-08-26T18:41:59,92.49,95.76,[92.49 - 95.76]
PANDA-mobilenet_v2-no-skip-alpha=1.5,v2,PANDA,mobilenet_v2,0.0001,True,1.5,False,True,5.0,1.0,5:1,35.31,28.94,88.0,99.0,-52.69,-70.06,completed,2026-08-26T19:21:46,33.30,37.38,[33.30 - 37.38]
